"text","stars"
"One of the best fish ever with the most tasty chips.All of the sauce was on point and it really gave loads of flavour","5"
"One of the best fish and chips I've ever had. Mayfair Chippy is a beautiful and quaint restaurant in the heart of Westend, and they serve their dishes just...","5"
"You can't go to England and call it an official trip until you eat some proper fish and chips! Did some research and The Mayfair Chippy looked to be the...","5"
"A superb restaurant, we look forward to going there again when things reopen in London. This place had rave reviews","5"
"Hard to find a way to add any higher praise to the restaurant of the decade in London. Great food, great decor, great folks running it, even great...","5"
"Long wait? Usually. Busy bar? Yup. Worth the hassle?  Absolutely!I've been coming here for years, and by far this is my favorite Indian restaurant in...","5"
"Went to London for vacation and stopped by this  place for dinner! We were originally trying to find nandos (first time trying) but we saw this place across...","5"
"I have visited London a few times now, but I just found out about this place the last time I visited when I was searching for restaurants on Yelp. I was...","5"
"11.1o.19My friend wanted to try this cutesy little place so we arrived right before the line formed so we got to be seated right away. Lucky us.The...","4"
"We came to fat bear for dinner and enjoyed the evening. A highlight for me was the excellent service we received from the team there. Food wise, we tried...","4"
"WOW, this place is delicious!Our family stopped in London for the last part of our cruise.  After touring St. Paul's Cathedral, we were pretty hungry.  We...","5"
"I felt a bit like a genius because I was choosing a place for several friends to meet up and we all wanted different things. I wanted something with at...","5"
"If you take a trip to London you have to visit sketch. The interior design and decor is stunning. Go for high tea or cocktails and get ready to be amazed.","5"
"You come here for the Instagram and the bathroom. It does not disappoint for pictures and the experience, but I found the service and sitting at the bar to...","3"
"Actually only got to make it here for a drink before a night out.  Such a cute place to stop by, but a little pricey of course.  The Gallery Room (all pink)...","3"
"This wasn't the best meal that I've had, but it certainly ranks near the top.  The restaurant felt like it was a little out of the way in a quiet...","5"
"Definativamente me gusta mucho this Michelin three-star restaurant by celebrity chef Gordon Ramsay.  I'm a huge fan of the food and his personality, as well...","5"
"This restaurant absolutely deserves the three stars it has had since 1988! By far one of the best Michelin meals I have ever had!  We went for lunch and...","5"
"I stumbled upon Wahaca walking home from work with a friend, and I am so glad I did! We were drawn in by the trendy atmosphere and patio, and a love for...","5"
"Outstanding food. I would go back to London's just to eat here again. We were so impressed we had appetizers, entrees, and then dessert.Environment: we got...","5"
"I've been to Wahaca twice and have enjoyed both of my visits. Love the casual vibe and the friendly service here. It's open till late, the prices are...","4"
"FFiona's is open and serving the same amazing food as always. We have eaten there several times since the loosening of Covid lock-down restrictions, and...","5"
"This is the perfect place for dinner during this pandemic. Only 9 Tables spaced perfectly for that ""social Distance"" that everyone is talking about.This is...","5"
"I love this place . Small so you feel at home . Fiona was very nice . Everyone was working hard non stop , We had the eggs Benedict special and it was so...","5"
"preamble:  We were in London for four days and we ate at Hawksmoor for three of those days.  It's just that good.  We even purchased their cookbook,...","5"
"Came in especially for the Sunday Roast. Not sure what all the fuss is about??? The service was faultless. The food left a lot to be desired.  The rump...","3"
"I had the most incredible dining experience here! I came here without reservations on a busy weekend. Sat at the bar as I was dining alone and the...","5"
"Super long wait times but the food is incredible. Some of the best brunch I have ever had. We got pretty much the main things from the menu.","5"
"By far one of my most favorite breakfast places in London! If you're in the area I highly recommend making time to go. It's super small inside and its...","5"
"This was a great visit on my trip to London. The area was nice and allows for good sight seeing before or after your meal. The food and coffee were also...","4"
"We got to our hotel somewhere in between early and mid morning and were starving. There weren't many restaurants in the area that were open yet. It was a...","4"
